[exp11] 6 bundled instances

[exp11] n005w4 H0 W[1, 2, 3, 3]
  start=mid bandit=uniform rounds=0 P0=4000 -> 4000 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=4000 -> 4070 (Δ=-70)
  start=mid bandit=uniform rounds=100 P0=4000 -> 4055 (Δ=-55)
  start=mid bandit=uniform rounds=250 P0=4000 -> 4360 (Δ=-360)
  start=mid bandit=uniform rounds=500 P0=4000 -> 4090 (Δ=-90)
  start=mid bandit=uniform rounds=1000 P0=4000 -> 4095 (Δ=-95)
  start=bandp bandit=linucb rounds=0 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=100 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=linucb rounds=250 P0=2010 -> 2370 (Δ=-360)
  start=bandp bandit=linucb rounds=500 P0=2010 -> 2510 (Δ=-500)
  start=bandp bandit=linucb rounds=1000 P0=2010 -> 2995 (Δ=-985)
  start=bandp bandit=uniform rounds=0 P0=2010 -> 2010 (Δ=+0)
  start=bandp bandit=uniform rounds=50 P0=2010 -> 2740 (Δ=-730)
  start=bandp bandit=uniform rounds=100 P0=2010 -> 3190 (Δ=-1180)
  start=bandp bandit=uniform rounds=250 P0=2010 -> 3555 (Δ=-1545)
  start=bandp bandit=uniform rounds=500 P0=2010 -> 3620 (Δ=-1610)
  start=bandp bandit=uniform rounds=1000 P0=2010 -> 3260 (Δ=-1250)

[exp11] n005w4 H2 W[6, 7, 8, 9]
  start=greedy bandit=linucb rounds=0 P0=5710 -> 5710 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=5710 -> 4900 (Δ=+810)
  start=greedy bandit=linucb rounds=100 P0=5710 -> 4570 (Δ=+1140)
  start=greedy bandit=linucb rounds=250 P0=5710 -> 4350 (Δ=+1360)
  start=greedy bandit=linucb rounds=500 P0=5710 -> 4295 (Δ=+1415)
  start=greedy bandit=linucb rounds=1000 P0=5710 -> 4400 (Δ=+1310)
  start=greedy bandit=uniform rounds=0 P0=5710 -> 5710 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=5710 -> 4515 (Δ=+1195)
  start=greedy bandit=uniform rounds=100 P0=5710 -> 4410 (Δ=+1300)
  start=greedy bandit=uniform rounds=250 P0=5710 -> 4435 (Δ=+1275)
  start=greedy bandit=uniform rounds=500 P0=5710 -> 4145 (Δ=+1565)
  start=greedy bandit=uniform rounds=1000 P0=5710 -> 4145 (Δ=+1565)
  start=mid bandit=linucb rounds=0 P0=4605 -> 4605 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=4605 -> 4320 (Δ=+285)
  start=mid bandit=linucb rounds=100 P0=4605 -> 3975 (Δ=+630)
  start=mid bandit=linucb rounds=250 P0=4605 -> 3945 (Δ=+660)
  start=mid bandit=linucb rounds=500 P0=4605 -> 3825 (Δ=+780)
  start=mid bandit=linucb rounds=1000 P0=4605 -> 3880 (Δ=+725)
  start=mid bandit=uniform rounds=0 P0=4605 -> 4605 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=4605 -> 4355 (Δ=+250)
  start=mid bandit=uniform rounds=100 P0=4605 -> 4630 (Δ=-25)
  start=mid bandit=uniform rounds=250 P0=4605 -> 4125 (Δ=+480)
  start=mid bandit=uniform rounds=500 P0=4605 -> 4140 (Δ=+465)
  start=mid bandit=uniform rounds=1000 P0=4605 -> 4220 (Δ=+385)
  start=bandp bandit=linucb rounds=0 P0=1720 -> 1720 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=1720 -> 2355 (Δ=-635)
  start=bandp bandit=linucb rounds=100 P0=1720 -> 2350 (Δ=-630)
  start=bandp bandit=linucb rounds=250 P0=1720 -> 2360 (Δ=-640)
  start=bandp bandit=linucb rounds=500 P0=1720 -> 2295 (Δ=-575)
  start=bandp bandit=linucb rounds=1000 P0=1720 -> 2095 (Δ=-375)
  start=bandp bandit=uniform rounds=0 P0=1720 -> 1720 (Δ=+0)
  start=bandp bandit=uniform rounds=50 P0=1720 -> 2395 (Δ=-675)
  start=bandp bandit=uniform rounds=100 P0=1720 -> 2645 (Δ=-925)
  start=bandp bandit=uniform rounds=250 P0=1720 -> 3150 (Δ=-1430)
  start=bandp bandit=uniform rounds=500 P0=1720 -> 3160 (Δ=-1440)
  start=bandp bandit=uniform rounds=1000 P0=1720 -> 2805 (Δ=-1085)
  start=greedy bandit=linucb rounds=0 P0=5710 -> 5710 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=5710 -> 4820 (Δ=+890)
  start=greedy bandit=linucb rounds=100 P0=5710 -> 4655 (Δ=+1055)
  start=greedy bandit=linucb rounds=250 P0=5710 -> 4280 (Δ=+1430)
  start=greedy bandit=linucb rounds=500 P0=5710 -> 3945 (Δ=+1765)
  start=greedy bandit=linucb rounds=1000 P0=5710 -> 4095 (Δ=+1615)
  start=greedy bandit=uniform rounds=0 P0=5710 -> 5710 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=5710 -> 4815 (Δ=+895)
  start=greedy bandit=uniform rounds=100 P0=5710 -> 4950 (Δ=+760)
  start=greedy bandit=uniform rounds=250 P0=5710 -> 5070 (Δ=+640)
  start=greedy bandit=uniform rounds=500 P0=5710 -> 4265 (Δ=+1445)
  start=greedy bandit=uniform rounds=1000 P0=5710 -> 3980 (Δ=+1730)
  start=mid bandit=linucb rounds=0 P0=4325 -> 4325 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=4325 -> 4370 (Δ=-45)
  start=mid bandit=linucb rounds=100 P0=4325 -> 4255 (Δ=+70)
  start=mid bandit=linucb rounds=250 P0=4325 -> 4165 (Δ=+160)
  start=mid bandit=linucb rounds=500 P0=4325 -> 4135 (Δ=+190)
  start=mid bandit=linucb rounds=1000 P0=4325 -> 4135 (Δ=+190)
  start=mid bandit=uniform rounds=0 P0=4325 -> 4325 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=4325 -> 4110 (Δ=+215)
  start=mid bandit=uniform rounds=100 P0=4325 -> 4120 (Δ=+205)
  start=mid bandit=uniform rounds=250 P0=4325 -> 3590 (Δ=+735)
  start=mid bandit=uniform rounds=500 P0=4325 -> 4350 (Δ=-25)
  start=mid bandit=uniform rounds=1000 P0=4325 -> 4020 (Δ=+305)
  start=bandp bandit=linucb rounds=0 P0=1720 -> 1720 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=1720 -> 2355 (Δ=-635)
  start=bandp bandit=linucb rounds=100 P0=1720 -> 2355 (Δ=-635)
  start=bandp bandit=linucb rounds=250 P0=1720 -> 2360 (Δ=-640)
  start=bandp bandit=linucb rounds=500 P0=1720 -> 2170 (Δ=-450)
  start=bandp bandit=linucb rounds=1000 P0=1720 -> 2470 (Δ=-750)
  start=bandp bandit=uniform rounds=0 P0=1720 -> 1720 (Δ=+0)
  start=bandp bandit=uniform rounds=50 P0=1720 -> 2430 (Δ=-710)
  start=bandp bandit=uniform rounds=100 P0=1720 -> 2640 (Δ=-920)
  start=bandp bandit=uniform rounds=250 P0=1720 -> 2995 (Δ=-1275)
  start=bandp bandit=uniform rounds=500 P0=1720 -> 2945 (Δ=-1225)
  start=bandp bandit=uniform rounds=1000 P0=1720 -> 3530 (Δ=-1810)
  start=greedy bandit=linucb rounds=0 P0=5710 -> 5710 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=5710 -> 5245 (Δ=+465)
  start=greedy bandit=linucb rounds=100 P0=5710 -> 4945 (Δ=+765)
  start=greedy bandit=linucb rounds=250 P0=5710 -> 4465 (Δ=+1245)
  start=greedy bandit=linucb rounds=500 P0=5710 -> 3965 (Δ=+1745)
  start=greedy bandit=linucb rounds=1000 P0=5710 -> 3875 (Δ=+1835)
  start=greedy bandit=uniform rounds=0 P0=5710 -> 5710 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=5710 -> 4840 (Δ=+870)
  start=greedy bandit=uniform rounds=100 P0=5710 -> 4780 (Δ=+930)
  start=greedy bandit=uniform rounds=250 P0=5710 -> 4670 (Δ=+1040)
  start=greedy bandit=uniform rounds=500 P0=5710 -> 4280 (Δ=+1430)
  start=greedy bandit=uniform rounds=1000 P0=5710 -> 4260 (Δ=+1450)
  start=mid bandit=linucb rounds=0 P0=4345 -> 4345 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=4345 -> 4145 (Δ=+200)
  start=mid bandit=linucb rounds=100 P0=4345 -> 4115 (Δ=+230)
  start=mid bandit=linucb rounds=250 P0=4345 -> 4005 (Δ=+340)
  start=mid bandit=linucb rounds=500 P0=4345 -> 4105 (Δ=+240)
  start=mid bandit=linucb rounds=1000 P0=4345 -> 3850 (Δ=+495)
  start=mid bandit=uniform rounds=0 P0=4345 -> 4345 (Δ=+0)
  start=mid bandit=uniform rounds=50 P0=4345 -> 4250 (Δ=+95)
  start=mid bandit=uniform rounds=100 P0=4345 -> 4260 (Δ=+85)
  start=mid bandit=uniform rounds=250 P0=4345 -> 3940 (Δ=+405)
  start=mid bandit=uniform rounds=500 P0=4345 -> 3980 (Δ=+365)
  start=mid bandit=uniform rounds=1000 P0=4345 -> 4190 (Δ=+155)
  start=bandp bandit=linucb rounds=0 P0=1720 -> 1720 (Δ=+0)
  start=bandp bandit=linucb rounds=50 P0=1720 -> 2320 (Δ=-600)
  start=bandp bandit=linucb rounds=100 P0=1720 -> 2355 (Δ=-635)
  start=bandp bandit=linucb rounds=250 P0=1720 -> 2510 (Δ=-790)
  start=bandp bandit=linucb rounds=500 P0=1720 -> 2265 (Δ=-545)
  start=bandp bandit=linucb rounds=1000 P0=1720 -> 2610 (Δ=-890)
  start=bandp bandit=uniform rounds=0 P0=1720 -> 1720 (Δ=+0)
  start=bandp bandit=uniform rounds=50 P0=1720 -> 2140 (Δ=-420)
  start=bandp bandit=uniform rounds=100 P0=1720 -> 2620 (Δ=-900)
  start=bandp bandit=uniform rounds=250 P0=1720 -> 3765 (Δ=-2045)
  start=bandp bandit=uniform rounds=500 P0=1720 -> 3345 (Δ=-1625)
  start=bandp bandit=uniform rounds=1000 P0=1720 -> 3245 (Δ=-1525)

[exp11] n012w8 H0 W[3, 5, 0, 2, 0, 4, 5, 2]
  start=greedy bandit=linucb rounds=0 P0=34950 -> 34950 (Δ=+0)
  start=greedy bandit=linucb rounds=50 P0=34950 -> 27450 (Δ=+7500)
  start=greedy bandit=linucb rounds=100 P0=34950 -> 22935 (Δ=+12015)
  start=greedy bandit=linucb rounds=250 P0=34950 -> 20425 (Δ=+14525)
  start=greedy bandit=linucb rounds=500 P0=34950 -> 17005 (Δ=+17945)
  start=greedy bandit=linucb rounds=1000 P0=34950 -> 15650 (Δ=+19300)
  start=greedy bandit=uniform rounds=0 P0=34950 -> 34950 (Δ=+0)
  start=greedy bandit=uniform rounds=50 P0=34950 -> 31515 (Δ=+3435)
  start=greedy bandit=uniform rounds=100 P0=34950 -> 28890 (Δ=+6060)
  start=greedy bandit=uniform rounds=250 P0=34950 -> 24730 (Δ=+10220)
  start=greedy bandit=uniform rounds=500 P0=34950 -> 20800 (Δ=+14150)
  start=greedy bandit=uniform rounds=1000 P0=34950 -> 20140 (Δ=+14810)
  start=mid bandit=linucb rounds=0 P0=21265 -> 21265 (Δ=+0)
  start=mid bandit=linucb rounds=50 P0=21265 -> 19260 (Δ=+2005)
  start=mid bandit=linucb rounds=100 P0=21265 -> 18495 (Δ=+2770)
  start=mid bandit=linucb rounds=250 P0=21265 -> 17445 (Δ=+3820)
  start=mid bandit=linucb rounds=500 P0=21265 -> 17360 (Δ=+3905)
